Fantasy;0.048352;0.047104;0.035240;0.047072;0.046976;0.046944;0.046849;0.046497;0.045953;0.044802;0.047232;0.043299;0.041188;0.038854;0.036999;0.035976;0.035432;0.035336;0.035208;0.035240;0.035144
Fantasy;1512;1473;1102;1472;1469;1468;1465;1454;1437;1401;1477;1354;1288;1215;1157;1125;1108;1105;1101;1102;1099
Fantasy;0.048352;0.047104;0.035240;0.047072;0.046976;0.046944;0.046849;0.046497;0.045953;0.044802;0.047232;0.043299;0.041188;0.038854;0.036999;0.035976;0.035432;0.035336;0.035208;0.035240;0.035144
Fantasy;28247;28325;29067;28327;28333;28335;28341;28363;28397;28469;28317;28563;28695;28841;28957;29021;29055;29061;29069;29067;29073
Fantasy;0.903297;0.905791;0.929519;0.905855;0.906047;0.906111;0.906303;0.907006;0.908094;0.910396;0.905535;0.913402;0.917623;0.922292;0.926002;0.928048;0.929136;0.929327;0.929583;0.929519;0.929711
History;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
History;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
History;1015;998;860;999;998;999;998;998;997;997;999;995;992;983;971;963;946;931;919;901;876
History;0.032458;0.031915;0.027502;0.031947;0.031915;0.031947;0.031915;0.031915;0.031883;0.031883;0.031947;0.031819;0.031723;0.031435;0.031051;0.030795;0.030252;0.029772;0.029388;0.028813;0.028013
History;1015;998;860;999;998;999;998;998;997;997;999;995;992;983;971;963;946;931;919;901;876
History;0.032458;0.031915;0.027502;0.031947;0.031915;0.031947;0.031915;0.031915;0.031883;0.031883;0.031947;0.031819;0.031723;0.031435;0.031051;0.030795;0.030252;0.029772;0.029388;0.028813;0.028013
History;29241;29275;29551;29273;29275;29273;29275;29275;29277;29277;29273;29281;29287;29305;29329;29345;29379;29409;29433;29469;29519
History;0.935084;0.936171;0.944997;0.936107;0.936171;0.936107;0.936171;0.936171;0.936235;0.936235;0.936107;0.936363;0.936555;0.937130;0.937898;0.938409;0.939497;0.940456;0.941223;0.942375;0.943974
Horror;0;0;4;0;1;2;2;4;4;4;0;4;4;4;4;4;4;4;4;4;4
Horror;0.000000;0.000000;0.000128;0.000000;0.000032;0.000064;0.000064;0.000128;0.000128;0.000128;0.000000;0.000128;0.000128;0.000128;0.000128;0.000128;0.000128;0.000128;0.000128;0.000128;0.000128
Horror;2820;2421;1099;2374;2012;1429;1240;1204;1187;1168;2452;1160;1140;1133;1130;1120;1119;1111;1110;1104;1106
Horror;0.090179;0.077420;0.035144;0.075917;0.064341;0.045697;0.039653;0.038502;0.037958;0.037351;0.078411;0.037095;0.036456;0.036232;0.036136;0.035816;0.035784;0.035528;0.035496;0.035304;0.035368
