Drama;0.063705;0.136006;0.253140;0.084887;0.194933;0.113904;0.153277;0.134298;0.142733;0.306261;0.131068;0.150474;0.129373;0.143561;0.135299;0.143961;0.128959;0.146857;0.133644;0.139677
Drama;24305;19001;22392;21371;20155;19686;19208;19186;19036;25645;19106;18996;19078;18980;18971;18954;19055;18917;19007;18980
Drama;0.324400;0.253607;0.298867;0.285240;0.269010;0.262750;0.256370;0.256076;0.254074;0.342285;0.255008;0.253540;0.254635;0.253327;0.253207;0.252980;0.254328;0.252486;0.253687;0.253327
Drama;65377;54543;36991;62203;45713;57855;51955;54799;53535;29031;55283;52375;55537;53411;54649;53351;55599;52917;54897;53993
Drama;0.872589;0.727987;0.493720;0.830226;0.610133;0.772193;0.693445;0.731404;0.714534;0.387478;0.737864;0.699051;0.741254;0.712879;0.729402;0.712078;0.742082;0.706285;0.732712;0.720647
Family;0;412;0;0;4;24;193;635;812;0;768;704;652;612;570;538;499;479;451;431
Family;0.000000;0.005499;0.000000;0.000000;0.000053;0.000320;0.002576;0.008475;0.010838;0.000000;0.010251;0.009396;0.008702;0.008168;0.007608;0.007181;0.006660;0.006393;0.006020;0.005753
Family;5522;4746;5522;5513;5485;5414;5182;4788;4612;5522;4610;4627;4651;4671;4692;4701;4716;4726;4731;4737
Family;0.073702;0.063345;0.073702;0.073582;0.073208;0.072261;0.069164;0.063906;0.061557;0.073702;0.061530;0.061757;0.062077;0.062344;0.062624;0.062744;0.062945;0.063078;0.063145;0.063225
Family;5522;5158;5522;5513;5489;5438;5375;5423;5424;5522;5378;5331;5303;5283;5262;5239;5215;5205;5182;5168
Family;0.073702;0.068844;0.073702;0.073582;0.073262;0.072581;0.071740;0.072381;0.072394;0.073702;0.071780;0.071153;0.070779;0.070512;0.070232;0.069925;0.069605;0.069471;0.069164;0.068977
Family;63879;65431;63879;63897;63953;64095;64559;65347;65699;63879;65703;65669;65621;65581;65539;65521;65491;65471;65461;65449
Family;0.852595;0.873310;0.852595;0.852836;0.853583;0.855478;0.861671;0.872189;0.876887;0.852595;0.876940;0.876487;0.875846;0.875312;0.874751;0.874511;0.874111;0.873844;0.873710;0.873550
Fantasy;0;709;0;0;0;0;1;8;22;0;60;171;302;497;695;826;857;838;796;745
Fantasy;0.000000;0.009463;0.000000;0.000000;0.000000;0.000000;0.000013;0.000107;0.000294;0.000000;0.000801;0.002282;0.004031;0.006633;0.009276;0.011025;0.011438;0.011185;0.010624;0.009944
Fantasy;3737;3186;3737;3737;3737;3736;3732;3729;3705;3737;3679;3611;3508;3373;3257;3188;3163;3163;3167;3178
Fantasy;0.049878;0.042524;0.049878;0.049878;0.049878;0.049865;0.049811;0.049771;0.049451;0.049878;0.049104;0.048196;0.046821;0.045020;0.043471;0.042550;0.042217;0.042217;0.042270;0.042417
Fantasy;3737;3895;3737;3737;3737;3736;3733;3737;3727;3737;3739;3782;3810;3870;3952;4014;4020;4001;3963;3923
Fantasy;0.049878;0.051987;0.049878;0.049878;0.049878;0.049865;0.049824;0.049878;0.049744;0.049878;0.049905;0.050478;0.050852;0.051653;0.052747;0.053575;0.053655;0.053401;0.052894;0.052360
Fantasy;67449;68551;67449;67449;67449;67451;67459;67465;67513;67449;67565;67701;67907;68177;68409;68547;68597;68597;68589;68567
Fantasy;0.900244;0.914953;0.900244;0.900244;0.900244;0.900271;0.900378;0.900458;0.901098;0.900244;0.901793;0.903608;0.906357;0.909961;0.913057;0.914899;0.915567;0.915567;0.915460;0.915166
History;0;1140;0;0;0;0;5;19;55;0;125;251;397;576;732;868;953;1046;1116;1135
History;0.000000;0.015216;0.000000;0.000000;0.000000;0.000000;0.000067;0.000254;0.000734;0.000000;0.001668;0.003350;0.005299;0.007688;0.009770;0.011585;0.012720;0.013961;0.014895;0.015149
History;3223;2706;3223;3223;3223;3222;3217;3209;3190;3223;3158;3112;3043;2954;2897;2847;2799;2760;2740;2719
History;0.043017;0.036117;0.043017;0.043017;0.043017;0.043004;0.042937;0.042831;0.042577;0.043017;0.042150;0.041536;0.040615;0.039427;0.038666;0.037999;0.037358;0.036838;0.036571;0.036291
History;3223;3846;3223;3223;3223;3222;3222;3228;3245;3223;3283;3363;3440;3530;3629;3715;3752;3806;3856;3854
History;0.043017;0.051333;0.043017;0.043017;0.043017;0.043004;0.043004;0.043084;0.043311;0.043017;0.043818;0.044886;0.045914;0.047115;0.048436;0.049584;0.050078;0.050799;0.051466;0.051439
History;68477;69511;68477;68477;68477;68479;68489;68505;68543;68477;68607;68699;68837;69015;69129;69229;69325;69403;69443;69485
History;0.913965;0.927766;0.913965;0.913965;0.913965;0.913992;0.914125;0.914339;0.914846;0.913965;0.915700;0.916928;0.918770;0.921146;0.922667;0.924002;0.925283;0.926324;0.926858;0.927419
Horror;0;1044;0;1;13;92;394;934;1296;0;1360;1363;1327;1279;1238;1201;1168;1131;1094;1068
Horror;0.000000;0.013934;0.000000;0.000013;0.000174;0.001228;0.005259;0.012466;0.017298;0.000000;0.018152;0.018192;0.017712;0.017071;0.016524;0.016030;0.015589;0.015095;0.014602;0.014255
Horror;5098;3000;5097;5092;5046;4825;4236;3542;3173;5098;3082;3038;3030;3026;3015;3009;3006;3003;3002;3002
Horror;0.068043;0.040041;0.068030;0.067963;0.067349;0.064399;0.056538;0.047275;0.042350;0.068043;0.041136;0.040548;0.040442;0.040388;0.040241;0.040161;0.040121;0.040081;0.040068;0.040068
